Day,Sample_ID,particle_conc
1,1,124235076333.33333
1,2,89249062500
1,3,175595167166.66666
1,4,153741474666.66666
1,5,182057049833.33334
1,6,282458569250
5,10,306075805166.6667
5,11,24149799e4
5,12,336677212208.3333
5,7,167230730583.33334
5,8,158284440500
5,9,198566481166.66666
10,13,337823313e3
10,14,317599048333.3333
10,15,154870656916.66666
10,16,118335894500
10,17,259032848166.66666
10,18,366183051833.3333
14,19,293945711e3
14,20,489899152416.6667
14,21,390243381333.3333
14,22,471071286800
14,23,396896023333.3333
14,24,235520981100
14,70,463804072500
17,25,483909625083.3333
17,26,582858619e3
17,27,264589303866.66666
17,28,87489377833.33333
17,29,206022733466.66666
17,30,371309377900
17,73,284579231500
17,74,303659799750
17,75,233894515416.66666
20,31,210775920500
20,32,120019464916.66667
20,33,245099588750
20,34,244752749666.66666
20,35,211266012500
20,36,25746644e4
