term,comparison,estimate,conf.low,conf.high,adj.p.value
Day,5-1,35425375625.00003,-198083873369.85577,268934624619.85583,0.9971185461036796
Day,10-1,60749588236.111145,-172759660758.74466,294258837230.9669,0.9668723309958354
Day,14-1,169793149530.55554,-63716099464.30026,403302398525.4114,0.26226419074947505
Day,17-1,138413120272.2223,-95096128722.63351,371922369267.0781,0.4790758313213268
Day,20-1,50448712722.22226,-183060536272.63354,283957961717.07806,0.9852754740062752
Day,10-5,25324212611.111115,-208185036383.7447,258833461605.96692,0.9994252804126785
Day,14-5,134367773905.55551,-99141475089.3003,367877022900.4113,0.5112421902261605
Day,17-5,102987744647.22226,-130521504347.63354,336496993642.07806,0.760021911735279
Day,20-5,15023337097.222229,-218485911897.63358,248532586092.07803,0.9999558145057218
Day,14-10,109043561294.4444,-124465687700.4114,342552810289.3002,0.7147636625005434
Day,17-10,77663532036.11115,-155845716958.74466,311172781030.9669,0.9104065012232574
Day,20-10,-10300875513.888885,-243810124508.7447,223208373480.96692,0.9999932156183189
Day,17-14,-31380029258.333252,-264889278253.18906,202129219736.52255,0.9983822286154658
Day,20-14,-119344436808.33328,-352853685803.1891,114164812186.52252,0.633217428730164
Day,20-17,-87964407550.00003,-321473656544.85583,145544841444.85577,0.858153757842598
