particle_size,std_after_125_4_1_00,std_after_125_4_1_01,std_after_125_4_1_02,std_after_125_4_2_00,std_after_125_4_2_01,std_after_125_4_2_02,std_before_125_4_1_00,std_before_125_4_1_01,std_before_125_4_1_02,std_before_125_4_2_00,std_before_125_4_2_01,std_before_125_4_2_02
0.5,0,0,0,0,0,0,0,0,0,0,0,0
1.5,0,0,0,0,0,0,0,0,0,0,0,0
2.5,0,0,0,0,0,0,0,0,0,0,0,0
3.5,0,0,0,0,0,0,0,0,0,0,0,0
4.5,0,0,0,0,0,0,0,0,0,0,0,0
5.5,0,0,0,0,0,0,0,0,0,0,0,0
6.5,0,0,0,0,0,0,0,0,0,0,0,0
7.5,0,0,0,0,0,0,0,0,0,0,0,0
8.5,0,0,0,0,0,0,0,0,0,0,0,0
9.5,0,0,0,0,0,0,0,0,0,0,0,0
10.5,0,0,0,0,0,0,0,0,0,0,0,0
11.5,0,0,0,0,0,0,0,0,0,0,0,0
12.5,0,0,0,0,0,0,0,0,0,0,0,0
13.5,0,0,0,0,0,0,0,0,0,0,0,0
14.5,0,0,0,0,0,0,0,0,0,0,0,0
15.5,0,0,0,0,0,0,0,0,0,0,0,0
16.5,0,0,0,0,0,0,0,0,0,0,0,0
17.5,0,0,0,0,0,0,0,0,0,0,0,0
18.5,0,0,0,0,0,0,0,0,0,0,0,0
19.5,0,0,0,0,0,0,0,0,0,0,0,0
20.5,0,0,0,0,0,0,0,0,0,0,0,0
21.5,0,0,0,0,0,0,0,0,0,0,0,0
22.5,0,0,0,0,0,0,0,0,0,0,0,0
23.5,0,0,0,0,0,0,0,0,0,0,0,0
24.5,0,0,0,0,0,2,0,0,0,0,0,0
25.5,0,0,0,0,0,15,0,0,0,0,0,0
26.5,0,0,0,0,0,68,0,0,0,0,0,0
27.5,0,0,0,0,0,244,0,0,0,0,0,0
28.5,0,0,0,0,0,708,0,0,0,0,0,0
29.5,0,0,0,0,0,1681,0,0,0,0,0,0
30.5,0,0,0,0,0,3313,0,0,0,0,0,0
31.5,0,0,0,0,0,5504,0,0,0,0,0,0
32.5,0,0,0,0,0,7819,0,0,0,0,0,0
33.5,0,0,0,0,0,9624,0,0,0,0,0,0
34.5,0,0,0,0,0,10393,0,0,0,0,0,0
35.5,0,0,0,0,0,9966,0,0,0,0,0,7
36.5,0,0,0,0,0,8587,0,0,0,0,0,71
37.5,0,0,4,0,0,6722,0,0,0,0,0,475
38.5,0,0,59,0,0,4836,0,0,0,0,0,2257
39.5,0,0,571,0,0,3232,0,0,0,0,0,7729
40.5,0,0,3534,0,0,2030,0,0,0,0,0,19449
41.5,0,0,14174,0,0,1211,0,0,0,0,0,36652
42.5,0,0,37716,0,0,694,0,0,0,0,0,52734
43.5,0,0,68477,0,0,387,0,0,0,0,0,59104
44.5,0,0,87537,0,0,212,0,34,0,0,0,52705
45.5,0,0,81543,0,0,116,0,620,0,0,0,38240
46.5,0,0,57430,0,0,64,0,5372,0,0,0,23117
47.5,0,0,31792,0,0,36,0,23634,0,0,0,11939
48.5,0,0,14400,0,0,21,0,56400,0,0,0,5409
49.5,0,0,5559,0,0,12,0,78134,0,0,0,2209
50.5,0,0,1905,0,0,8,0,67348,0,0,0,837
51.5,0,0,603,0,0,5,0,38754,0,0,0,302
52.5,0,0,183,0,0,4,0,15979,0,0,0,107
53.5,0,0,55,0,0,3,0,5067,0,0,0,38
54.5,0,0,17,0,0,3,0,1324,0,0,0,14
55.5,0,0,6,5,0,3,0,305,0,0,0,6
56.5,2,0,2,26,0,3,0,66,0,0,0,2
57.5,5,0,0,96,0,3,0,14,2,0,0,1
58.5,12,0,0,263,0,4,0,3,8,0,0,0
59.5,28,0,0,547,0,5,3,0,32,0,0,0
60.5,65,0,0,902,0,8,11,0,106,0,0,0
61.5,144,0,0,1225,0,12,38,0,286,0,0,0
62.5,305,0,0,1426,0,21,113,0,640,0,0,0
63.5,616,0,0,1473,0,38,298,0,1218,0,0,0
64.5,1179,0,0,1395,0,71,700,0,2005,2,0,0
65.5,2133,0,0,1250,0,139,1492,0,2913,4,0,0
66.5,3654,0,0,1088,3,278,2913,0,3818,11,0,0
67.5,5932,0,0,943,16,566,5278,0,4609,28,2,1
68.5,9167,0,0,831,67,1153,8976,0,5235,73,6,3
69.5,13553,0,0,759,246,2334,14483,0,5712,182,20,5
70.5,19295,0,0,728,780,4652,22393,0,6109,443,61,13
71.5,26641,0,1,743,2161,9065,33471,0,6521,1043,179,31
72.5,35935,0,4,814,5271,17163,48740,2,7064,2370,492,79
73.5,47690,0,10,961,11437,31432,69598,5,7873,5183,1276,204
74.5,62679,0,30,1227,22360,55519,97986,18,9129,10920,3147,534
75.5,82039,0,89,1691,39914,94420,136596,63,11096,22194,7412,1388
76.5,107418,0,265,2507,65979,154544,189162,217,14201,43597,16721,3558
77.5,141155,4,773,3976,102437,243600,260832,721,19155,82908,36198,8911
78.5,186517,19,2184,6685,151424,370326,358642,2282,27173,152847,75230,21621
79.5,247999,94,5889,11803,215819,544112,492115,6776,40341,273357,150041,50460
80.5,331682,404,14991,21634,299889,774615,673962,18701,62227,474219,286839,112613
81.5,445616,1550,35732,40675,410046,1071431,920858,47675,98850,797343,524871,239133
82.5,600188,5297,79330,77492,555694,1443830,1254189,111945,160124,1297448,917949,481232
83.5,808372,16185,163609,147813,750179,1900521,1700598,242126,261794,2039299,1532578,914922
84.5,1085745,44395,313351,279113,1011821,2449332,2292046,483552,427685,3089498,2440889,1639637
85.5,1450124,109911,558311,516389,1364878,3096700,3064978,895457,691666,4501902,3707861,2765835
86.5,1920676,247107,928599,927636,1840142,3846881,4058116,1546011,1098270,6298120,5374423,4388840
87.5,2516427,507865,1448519,1605790,2474608,4700843,5308408,2503829,1700567,8448005,7440324,6552180
88.5,3254196,960674,2130951,2662487,3309475,5654909,6844825,3827841,2554125,10857734,9851817,9211420
89.5,4146083,1683688,2974371,4209444,4385658,6699302,8680182,5557533,3706931,13372796,12498514,12214352
90.5,5196837,2751331,3963392,6326985,5736269,7816841,10801823,7704693,5186843,15798860,15221342,15310820
91.5,6401462,4216288,5072216,9025974,7376272,8982110,13162912,10246654,6989728,17936362,17830411,18194704
92.5,7743479,6090676,6269347,12216026,9290778,10161430,15676784,13120673,9071991,19618396,20129119,20566601
93.5,9194183,8331212,7521842,15694937,11424862,11313908,18217104,16219679,11350125,20739849,21939689,22196372
94.5,10713095,10833022,8797974,19168734,13678724,12393657,20625898,19390934,13707736,21269518,23125580,22965199
95.5,12249654,13435280,10068062,22300355,15911737,13353112,22729909,22440353,16008225,21244014,23607392,22876307
96.5,13746021,15939343,11303826,24773333,17956976,14147079,24363317,25145476,18109998,20748604,23370324,22036194
97.5,15140773,18136852,12477004,26351166,19644598,14736982,25392569,27278610,19881156,19893041,22462716,20617579
98.5,16373155,19842211,13557983,26915665,20829134,15094672,25737671,28638544,21211628,18789616,20986442,18818092
99.5,17387544,20922068,14515083,26476411,21413861,15205189,25384722,29085182,22021945,17537660,19081091,16825804
100.5,18137729,21314774,15314907,25153473,21365880,15068040,24386585,28568317,22268705,16215501,16904709,14797093
101.5,18590613,21035486,15923935,23142638,20718392,14696848,22851840,27141440,21947010,14878667,14614322,12847165
102.5,18728943,20166649,16311258,20674687,19560496,14117477,20925231,24954968,21090026,13562256,12349309,11050333
103.5,18552728,18837595,16452103,17978492,18018292,13365019,18764693,22229563,19765527,12285430,10219880,9446139
104.5,18079122,17199367,16331516,15253876,16232756,12480154,16520148,19216760,18069334,11056509,8301671,8047838
105.5,17340718,15401018,15947517,12656174,14339580,11505430,14317868,16157825,16115871,9877735,6636109,6850851
106.5,16382407,13571862,15312960,10291424,12454498,10481935,12252043,13251194,14026734,8749174,5235159,5839890
107.5,15257199,11811564,14455608,8219477,10665373,9446682,10383161,10634602,11918776,7671522,4088550,4994330
108.5,14021532,10187579,13416210,6461896,9030484,8430875,8741465,8382521,9893523,6647745,3171606,4291871
109.5,12730689,8737974,12244830,5011839,7581310,7459040,7333271,6515190,8029558,5683554,2452291,3710817
110.5,11434882,7477252,10996025,3843863,6327838,6548923,6148127,5013647,6378853,4786878,1896670,3231316
111.5,10176390,6403085,9723693,2922366,5264656,5711954,5165433,3835608,4967098,3966577,1472576,2835911
112.5,8987956,5502557,8476453,2208101,4376639,4954100,4359740,2928823,3797281,3230788,1151667,2509649
113.5,7892392,4757183,7294206,1662676,3643580,4276891,3704532,2240492,2855233,2585320,910240,2239945
114.5,6903201,4146520,6206225,1251280,3043587,3678494,3174611,1722798,2115776,2032482,729230,2016325
115.5,6025888,3650495,5230796,944010,2555308,3154705,2747383,1335387,1548351,1570582,593750,1830123
116.5,5259647,3250731,4376133,716222,2159220,2699819,2403364,1045825,1121468,1194140,492436,1674179
117.5,4599119,2931141,3642144,548258,1838223,2307321,2126192,828935,805717,894683,416754,1542564
