Day,Sample_ID,particle_conc
1,1,36805330458.333336
1,2,89249062500.0
1,3,224084711166.66666
1,4,153741474666.66666
1,5,271588881500.0
1,6,62821165458.333336
5,10,125814196750.0
5,11,82230709916.66667
5,12,402056411833.3333
5,7,83890639333.33333
5,8,158284440500.0
5,9,198566481166.66666
10,13,337823313e3
10,14,123739260166.66667
10,15,203620848250.0
10,16,118335894500.0
10,17,53085787416.666664
10,18,366183051833.3333
14,19,98578048500.0
14,20,489899152416.6667
14,21,390243381333.3333
14,22,263374279750.0
14,23,419119686666.6667
14,24,195834974266.66666
17,25,483909625083.3333
17,26,582858619e3
17,27,114663728916.66667
17,28,87323854916.66667
17,29,244223243600.0
17,30,155790275866.66666
20,31,136923785416.66667
20,32,152569833333.33334
20,33,190971578083.33334
20,34,191785252750.0
20,35,211266012500.0
20,36,25746644e4
